,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
20,Hardswish,0.767966963018014,3,1,1,0,4,4,off,0.0004364916992605,73,59.14592742919922,-1.8726046085357664,-0.0332986451685428,6,0.266768217086792,640.7620096206665,1688617829.7230008,1688618470.2177436,59.14592742919922,89.34740447998047,0.0332986451685428,10.983915328979492,64.29669189453125,63862.546875,1.8726046085357664
21,Hardswish,0.5355132621891628,4,0,0,3,2,1,on,0.0006354883792883,60,75.2313232421875,-1.5098059177398682,-0.2545830905437469,9,0.2672984600067138,492.1265103816986,1688617829.723518,1688618321.5822487,75.2313232421875,75.11431121826172,0.2545830905437469,54.0019645690918,37.05219650268555,49012.80078125,1.5098059177398682
22,ReLU,0.101693156972894,2,0,2,3,2,1,off,0.0006284320692752,165,92.10941314697266,-1.4562114477157593,-0.8674262762069702,61,924.0877707004548,2667.136219024658,1688618753.543981,1688620496.5918102,92.10941314697266,98.88516998291016,0.8674262762069702,124.55442810058594,92.07554626464844,174292.546875,1.4562114477157593
23,Mish,0.2531521511965968,2,0,1,0,2,1,on,0.0001271860129912,154,92.74752044677734,-3.022249221801758,-0.4929007887840271,0,0.2667989730834961,2287.3863894939423,1688617829.7230484,1688620116.8421242,92.74752044677734,87.63477325439453,0.4929007887840271,81.56244659423828,90.02061462402344,228524.75,3.022249221801758
24,Hardswish,0.5831386479998798,2,4,3,3,1,3,off,0.0006532166441105,63,66.30229187011719,-1.652766227722168,-0.4417205154895782,100,1880.1480135917664,2460.1998817920685,1688619709.6042235,1688620289.6557062,66.30229187011719,80.83460235595703,0.4417205154895782,50.98511505126953,55.26863098144531,57992.8359375,1.652766227722168
25,Mish,0.4777115410893082,0,3,0,2,3,3,on,0.000588538219767,27,82.72652435302734,-3.025274991989136,-0.4345111548900604,101,1888.8403146266933,2364.9965023994446,1688619718.296523,1688620194.4523287,82.72652435302734,83.62934875488281,0.4345111548900604,53.659610748291016,76.84803771972656,47603.25390625,3.025274991989136
26,Hardswish,0.5933023830576006,3,3,2,4,0,2,on,0.0006140835585345,54,64.89356231689453,-1.8213024139404297,-0.5555484890937805,102,1902.674772977829,2555.4758117198944,1688619732.130981,1688620384.931656,64.89356231689453,81.971435546875,0.5555484890937805,79.81353759765625,74.0087661743164,65272.46484375,1.8213024139404297
27,ReLU,0.8857197944022918,1,3,2,1,1,4,on,0.0008427159477964,1,16.64973258972168,-1.6628936529159546,-0.3207844495773315,106,2151.690137863159,2160.4192056655884,1688619981.1463466,1688619989.8750236,16.64973258972168,35.34499740600586,0.3207844495773315,40.85552978515625,23.647533416748047,869.6941528320312,1.6628936529159546
28,Hardswish,0.5216403413247934,1,4,3,0,1,1,on,0.0002081910603705,9,66.89459991455078,-1.2633891105651855,-0.0811784490942955,108,2169.7942588329315,2222.5662648677826,1688619999.2504673,1688620052.0221112,66.89459991455078,86.4273452758789,0.0811784490942955,11.29351043701172,69.02139282226562,5269.59521484375,1.2633891105651855
29,Hardswish,0.5134402072792207,2,0,2,1,0,0,on,0.0004540473302128,190,94.2086944580078,-1.3718862533569336,-0.7180035710334778,11,0.2705452442169189,1741.8976469039917,1688617829.726767,1688619571.3533847,94.2086944580078,97.41522216796876,0.7180035710334778,74.55839538574219,94.6002426147461,173997.125,1.3718862533569336
