p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Mish,0.916823409103843,1,0,4,0,0,2,off,0.0008887061045239097,1,23.14094352722168,-1.8183767795562744,-0.298041433095932,153,574.5147695541382,590.8620207309723,1688845476.11533,1688845492.4622245,23.14094352722168,41.630741119384766,0.298041433095932,40.1729736328125,34.59819030761719,1630.7503662109375,1.8183767795562744
Hardswish,0.8224936030951051,0,0,2,0,0,2,on,0.0009730954867857504,145,66.15312957763672,-1.944985270500183,-0.6051297187805176,156,589.898131608963,1668.2113618850708,1688845491.4986944,1688846569.8115618,66.15312957763672,54.40658187866211,0.6051297187805176,72.15841674804688,48.32988739013672,107818.96875,1.944985270500183
Hardswish,0.02525058064524785,2,3,4,0,3,4,on,3.1007703877225734e-05,72,91.7463150024414,-1.9739757776260376,-0.370733380317688,157,591.0704026222229,1174.024807691574,1688845492.670962,1688846075.625003,91.7463150024414,92.29608917236328,0.370733380317688,51.639984130859375,88.81232452392578,58283.09765625,1.9739757776260376
Mish,0.8176859865822815,3,0,2,1,0,0,off,0.0007585036740818887,3,44.91265869140625,-1.9991776943206787,-0.28109797835350037,158,604.2877719402313,631.6500532627106,1688845505.888332,1688845533.2502642,44.91265869140625,58.34454727172851,0.28109797835350037,42.140357971191406,29.894527435302734,2731.144287109375,1.9991776943206787
Hardswish,0.969635277306588,0,0,0,2,0,3,on,0.000965056894697216,125,30.190479278564453,-1.3656870126724243,-0.3108126223087311,161,631.8657433986664,1540.5070760250092,1688845533.466302,1688846442.1072853,30.190479278564453,53.90862274169922,0.3108126223087311,33.39550018310547,69.69551086425781,90851.796875,1.3656870126724243
Hardswish,0.8587738052800804,4,4,1,1,4,1,on,0.00025210067001560637,85,77.11170959472656,-1.3736515045166016,-0.09100304543972015,162,635.1003971099854,1415.9599907398224,1688845536.700958,1688846317.5601652,77.11170959472656,77.23187255859375,0.09100304543972015,8.033730506896973,82.78593444824219,78073.609375,1.3736515045166016
ReLU,0.014899606072064888,1,2,0,1,2,0,on,7.439925790827765e-05,71,93.12606048583984,-1.259913444519043,-0.5264058709144592,163,636.6328067779541,1222.0142192840576,1688845538.2333689,1688846123.6144228,93.12606048583984,92.97889709472656,0.5264058709144592,67.6293716430664,92.41747283935548,58525.7890625,1.259913444519043
Hardswish,0.9562449245812732,0,1,4,2,0,2,on,0.0009234685747318756,13,22.035572052001953,-1.034266233444214,-0.5573575496673584,164,666.6351532936096,819.0657877922058,1688845568.2357116,1688845720.6659937,22.035572052001953,68.36861419677734,0.5573575496673584,63.889198303222656,68.51915740966797,15230.6884765625,1.034266233444214
Hardswish,0.8157721294453306,0,0,4,1,0,4,on,5.566479422343077e-05,5,30.505069732666016,-1.5176712274551392,-0.08108697086572647,167,679.5285985469818,727.697211265564,1688845581.12916,1688845629.2974095,30.505069732666016,52.68255615234375,0.08108697086572647,6.971368789672852,24.201332092285156,4809.73876953125,1.5176712274551392
Hardswish,0.8165408738876117,0,0,0,0,0,4,off,3.791730300686639e-05,58,54.58122634887695,-1.140323519706726,-0.024702588096261024,170,736.0043549537659,1132.5189955234528,1688845637.6049173,1688846034.1191587,54.58122634887695,81.94027709960938,0.024702588096261024,7.795589447021484,62.5814323425293,39639.15234375,1.140323519706726
ReLU,0.01886428526272776,2,0,2,2,2,0,on,0.0003844875499664805,79,92.53916931152344,-1.4626260995864868,-0.7856020331382751,172,808.0142343044281,1545.1339983940125,1688845709.6147964,1688846446.7341945,92.53916931152344,94.20637512207033,0.7856020331382751,132.14051818847656,93.65486145019533,73699.5859375,1.4626260995864868
ReLU,0.019955098958344953,3,4,4,2,1,0,on,0.00017619119707651022,55,89.56044006347656,-1.79941987991333,-0.3839297890663147,174,819.2845962047577,1497.9156115055084,1688845720.8851538,1688846399.5158234,89.56044006347656,90.02105712890625,0.3839297890663147,45.67414855957031,89.26618957519531,67860.515625,1.79941987991333
Mish,0.9593294829429746,4,0,4,0,0,4,off,1.339966726606208e-05,7,55.755985260009766,-2.605961561203003,-0.0920153483748436,176,837.2945454120636,943.0082795619963,1688845738.8951087,1688845844.6084924,55.755985260009766,34.13677978515625,0.0920153483748436,8.547455787658691,34.36626052856445,10559.0322265625,2.605961561203003
ReLU,0.6709738359627719,2,1,0,1,3,4,off,0.00011098272650506862,142,93.5461196899414,-1.5987911224365234,-0.30037420988082886,18,0.42680954933166504,1442.9972207546234,1688844902.0273843,1688846344.5973144,93.5461196899414,97.01390075683594,0.30037420988082886,44.10268783569336,88.09688568115234,144009.59375,1.5987911224365234
ReLU,0.8101084974846475,1,3,4,3,4,4,off,0.000706308138469839,68,31.3989315032959,-2.4175188541412354,-0.07093122601509094,19,0.4347059726715088,865.49786901474,1688844902.035279,1688845767.0973024,31.3989315032959,62.31251907348633,0.07093122601509094,12.188222885131836,58.8114013671875,86271.5546875,2.4175188541412354
ReLU,0.8293104315907618,1,4,3,0,4,4,off,0.0007542589079585564,48,41.555946350097656,-2.871222496032715,-0.15268050134181976,192,1103.106122970581,1549.7227985858915,1688846004.7066865,1688846451.3229997,41.555946350097656,36.13909149169922,0.15268050134181976,9.359844207763672,57.66749572753906,44649.3046875,2.871222496032715
Hardswish,0.07360504606030824,4,0,0,4,4,2,on,7.030525742850855e-05,1,55.02402114868164,-2.1776578426361084,-0.344068706035614,20,0.4363276958465576,15.969783306121826,1688844902.0369053,1688844917.5698752,55.02402114868164,58.729835510253906,0.344068706035614,47.46635437011719,66.0969009399414,1329.7640380859375,2.1776578426361084
ReLU,0.01199530393678067,0,1,0,0,4,0,on,3.3521861479975314e-05,27,82.60588073730469,-1.4302750825881958,-0.08631900697946548,209,1308.5941333770752,1545.414387464523,1688846210.1946948,1688846447.014587,82.60588073730469,83.50983428955078,0.08631900697946548,9.686241149902344,85.83283233642578,23669.654296875,1.4302750825881958
