,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
33,ReLU,0.9141404440366464,3,0,0,0,0,1,on,0.00020780407661261433,43,43.05302429199219,-1.1054030656814575,-0.12041422724723816,33,1688837093.783576,1688837357.496663,43.05302429199219,88.44740295410156,0.12041422724723816,10.151666641235352,66.28567504882812,26226.78125,1.1054030656814575
34,ReLU,0.23143972487971,4,3,3,4,3,1,off,0.0003512299015624432,136,87.70401000976562,-2.116323947906494,-0.14555016160011292,34,1688837093.786383,1688838888.1466713,87.70401000976562,95.29215240478516,0.14555016160011292,17.89432144165039,89.56716918945312,179295.21875,2.116323947906494
35,Hardswish,0.18885953501633723,2,0,1,2,1,1,off,0.0003560834946237989,195,79.59479522705078,-1.380170464515686,-0.5500258207321167,35,1688837093.7891479,1688838442.617469,79.59479522705078,94.21522521972656,0.5500258207321167,90.48516082763672,82.40748596191406,134739.140625,1.380170464515686
36,Hardswish,0.658496330652315,1,1,2,3,1,0,on,0.0004132969826192689,140,91.4534683227539,-1.5595190525054932,-0.1290382295846939,36,1688837093.792239,1688837990.8441515,91.4534683227539,93.86572265625,0.1290382295846939,43.0598030090332,90.79753875732422,89561.84375,1.5595190525054932
37,Mish,0.35632121058877547,2,0,0,4,1,3,off,0.000553723803484178,29,57.04113006591797,-2.1676523685455322,-0.3570786118507385,37,1688837093.7949495,1688837482.162273,57.04113006591797,87.78706359863281,0.3570786118507385,43.22540283203125,65.3301010131836,38693.34765625,2.1676523685455322
38,Mish,0.7687417773877848,1,0,4,2,2,0,off,0.00013429237561671278,166,92.20001983642578,-4.432615280151367,-0.5207682251930237,38,1688837093.7975972,1688839846.6466436,92.20001983642578,98.20084381103516,0.5207682251930237,74.49662780761719,92.14776611328125,275142.1875,4.432615280151367
39,Mish,0.3209032517064418,4,4,2,3,3,2,on,0.0007169473631210988,70,80.11090850830078,-3.4145662784576416,-0.6089701056480408,39,1688837093.8013973,1688838388.7282305,80.11090850830078,86.7578353881836,0.6089701056480408,88.26238250732422,86.48848724365234,129349.2578125,3.4145662784576416
40,Mish,0.47950706065460097,4,2,1,0,2,2,off,0.0003951334484301552,43,59.30181884765625,-2.8591222763061523,-0.7667327523231506,40,1688837093.8041546,1688837688.6507614,59.30181884765625,89.89787292480469,0.7667327523231506,113.07787322998047,79.54837799072266,59341.53125,2.8591222763061523
41,ReLU,0.6887715292833356,1,3,4,0,1,1,on,0.00023284854957123386,53,79.510009765625,-1.6689544916152954,-0.11337471753358841,41,1688837093.8072124,1688837493.0431378,79.510009765625,84.72970581054688,0.11337471753358841,10.346440315246582,68.72613525390625,39781.625,1.6689544916152954
42,ReLU,0.05889399584020418,1,4,4,1,3,0,off,0.0009376802880744924,82,77.33548736572266,-1.5791059732437134,-0.12919631600379944,42,1688837093.8105204,1688837878.5859969,77.33548736572266,91.1683120727539,0.12919631600379944,10.711946487426758,75.08441925048828,78332.71875,1.5791059732437134
43,Hardswish,0.5575419187330212,4,2,4,3,2,4,off,0.00041701633516175163,87,82.88024139404297,-2.7968618869781494,-0.4987545609474182,43,1688837093.8138301,1688838356.1385481,82.88024139404297,90.81363677978516,0.4987545609474182,91.62244415283203,66.2376480102539,126088.203125,2.7968618869781494
44,ReLU,0.532511382830287,4,3,3,0,1,2,on,0.000194858073491369,124,89.85296630859375,-1.918116807937622,-0.39525049924850464,44,1688837093.8169606,1688838224.0610287,89.85296630859375,94.96044158935547,0.39525049924850464,49.64686965942383,87.94218444824219,112883.40625,1.918116807937622
45,ReLU,0.8092387695870946,4,2,4,0,4,3,off,0.0002106181601524428,82,87.85308837890625,-2.692434549331665,-0.39549413323402405,45,1688837093.820537,1688838063.6094544,87.85308837890625,91.24907684326172,0.39549413323402405,55.67131042480469,82.31353759765625,96836.1171875,2.692434549331665
