,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
126,Hardswish,0.1230053368512903,1,4,3,2,2,0,on,0.0006249485237135,86.47373962402344,-1.5282881259918213,125,4.270074844360352,4.292649030685425,1688013321.7794814,1688013321.8019218
127,ReLU,0.4446244501515708,4,0,2,0,3,0,on,0.0004780443138427,85.71173095703125,-1.3196805715560913,126,4.279677152633667,4.302429437637329,1688013321.789085,1688013321.811705
128,ReLU,0.1476832870234236,3,0,0,0,1,1,on,0.0007617741270602,86.21612548828125,-0.4970767796039582,127,4.289502382278442,4.311176776885986,1688013321.7989032,1688013321.820467
129,ReLU,0.2408199294812576,0,0,3,0,0,2,on,2.7323677249397563e-05,89.01155090332031,-0.6628440022468567,136,4.60776686668396,4.630457162857056,1688013322.1171782,1688013322.1396246
130,ReLU,0.4377410707543087,1,3,0,0,1,1,on,0.0006440052253436,84.08544158935547,-0.5761295557022095,129,4.436296701431274,4.458182334899902,1688013321.9456978,1688013321.9674728
131,ReLU,0.0933104178601881,4,0,0,0,0,4,on,0.0003293693573109,55.824737548828125,-1.5322341918945312,130,4.44790506362915,4.46966814994812,1688013321.9573066,1688013321.9789586
132,ReLU,0.2494266862299888,0,0,1,0,4,1,on,0.0004040384534394,76.56510925292969,-0.9173961877822876,131,4.459752798080444,4.481835126876831,1688013321.969155,1688013321.9911234
133,ReLU,0.0804108679965681,1,0,0,0,0,1,on,0.000494231904229,84.84187316894531,-0.350138247013092,132,4.512637615203857,4.534880638122559,1688013322.022043,1688013322.044156
134,Mish,0.275696207179018,1,0,0,0,1,0,on,0.0009774240012866,80.16918182373047,-0.7768555879592896,133,4.525558710098267,4.548005819320679,1688013322.034966,1688013322.0572786
135,ReLU,0.9916345169483984,3,0,0,0,0,1,on,0.0002045305219254,87.109130859375,-0.5056729316711426,134,4.536803245544434,4.559093236923218,1688013322.0462096,1688013322.068369
136,ReLU,0.5864032599320648,0,0,0,1,0,3,on,0.0002764142857388,84.24411010742188,-0.5078220963478088,135,4.5406763553619385,4.562542915344238,1688013322.0500784,1688013322.071833
137,ReLU,0.7737428565309856,0,0,4,0,0,1,on,0.0004303709857026,71.39443969726562,-0.8546704053878784,144,4.866118669509888,4.8884265422821045,1688013322.375533,1688013322.397596
138,ReLU,0.2403984794847947,1,3,2,0,2,1,on,0.0003293248047886,89.74467468261719,-0.9949803948402404,137,4.688239574432373,4.710102319717407,1688013322.1976411,1688013322.219393
139,ReLU,0.0671407336331282,1,0,3,3,0,0,off,0.0004449010879164,86.6807861328125,-0.6040578484535217,138,4.698859453201294,4.720457077026367,1688013322.2082603,1688013322.2297492
140,ReLU,0.5775588013170437,0,0,2,0,0,1,off,0.0001169163678726,88.39586639404297,-0.5895068645477295,139,4.7132728099823,4.735203742980957,1688013322.2226746,1688013322.2444928
