p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
ReLU,0.6150085705935435,3,1,0,1,2,2,on,0.0003963306360509432,89.6357192993164,-0.9980745315551758,23,1.8641917705535889,1.8869292736053467,1684278328.7550154,1684278328.777531
Mish,0.8721691301516603,2,1,1,4,3,2,on,0.00029386552487404113,"[88.00096893310547, -2.9209723472595215]","[88.00096893310547, -2.9209723472595215]",16,1.856952667236328,1.8797171115875244,1684278328.7477753,1684278328.770422
Mish,0.5542643135530378,3,2,4,0,0,0,on,0.0006284023559633142,"[87.71923065185547, -2.787163019180298]","[87.71923065185547, -2.787163019180298]",17,1.8583087921142576,1.8812296390533447,1684278328.74913,1684278328.771938
Hardswish,0.9954571541545034,4,3,3,1,2,1,on,0.0006346932421159496,"[83.22760009765625, -1.5961687564849854]","[83.22760009765625, -1.5961687564849854]",18,1.8587281703948977,1.8810086250305176,1684278328.7495484,1684278328.771716
Hardswish,0.9615647790486382,1,1,1,2,0,2,off,0.0006175158777270308,"[10.446385383605955, -0.9431645274162292]","[10.446385383605955, -0.9431645274162292]",19,1.8590331077575684,1.8823580741882324,1684278328.7498562,1684278328.7730596
ReLU,0.2041308754896712,2,3,0,1,2,1,on,0.0009076010532150222,"[90.81990051269533, -0.99345064163208]","[90.81990051269533, -0.99345064163208]",20,1.8597042560577393,1.8829421997070312,1684278328.750526,1684278328.773646
Mish,0.6539057964596764,2,1,1,0,3,4,on,0.0009838381290942426,"[79.44255065917969, -2.5599217414855957]","[79.44255065917969, -2.5599217414855957]",21,1.8599114418029783,1.8829612731933592,1684278328.750733,1684278328.773667
Mish,0.8886072189168871,2,3,0,3,3,1,off,0.0003497942065766818,"[89.1138687133789, -2.9924309253692627]","[89.1138687133789, -2.9924309253692627]",22,1.860095500946045,1.8830158710479736,1684278328.7509172,1684278328.7737217
Mish,0.08728333209312462,0,0,2,2,1,4,on,0.0004203004475528099,87.89779663085938,-2.5803935527801514,31,1.937215805053711,1.9599368572235107,1684278328.8280401,1684278328.8505373
ReLU,0.7671103995088798,1,2,0,4,3,3,off,0.000678275395888399,"[87.69235229492188, -1.5598225593566897]","[87.69235229492188, -1.5598225593566897]",24,1.926584005355835,1.9494833946228027,1684278328.8174045,1684278328.8401928
Hardswish,0.06695426102205633,3,1,2,0,1,2,on,0.0002564155003599904,"[89.96856689453125, -1.0053379535675049]","[89.96856689453125, -1.0053379535675049]",25,1.92708158493042,1.9499144554138184,1684278328.8179028,1684278328.840623
Mish,0.6645003286720579,4,0,1,3,4,1,off,0.00021969780171779996,"[64.78646087646484, -2.246856689453125]","[64.78646087646484, -2.246856689453125]",26,1.9279260635375977,1.9502413272857664,1684278328.818747,1684278328.8409507
ReLU,0.9542712053491716,2,4,2,0,3,4,on,0.0003881875615808842,"[86.78131103515625, -2.180288314819336]","[86.78131103515625, -2.180288314819336]",27,1.9290385246276855,1.9519407749176023,1684278328.8198595,1684278328.8426433
Hardswish,0.48913988166417866,3,3,3,0,2,1,off,0.0008319740159771086,"[86.11748504638672, -1.0608735084533691]","[86.11748504638672, -1.0608735084533691]",28,1.9292535781860352,1.9522764682769775,1684278328.820075,1684278328.8429778
ReLU,0.265672949110479,4,3,2,1,2,0,on,0.0007081428127913948,"[88.72975158691406, -1.546794891357422]","[88.72975158691406, -1.546794891357422]",29,1.9293277263641355,1.9521880149841309,1684278328.820149,1684278328.8428938
Mish,0.7222157182691498,4,2,4,0,4,4,off,0.00021549488901091208,"[67.39558410644531, -3.7079977989196777]","[67.39558410644531, -3.7079977989196777]",30,1.9294288158416748,1.9525179862976072,1684278328.8202496,1684278328.84322
Mish,0.7355627536504538,3,3,2,4,4,0,off,0.0009293980971069042,84.75733947753906,-4.1836137771606445,39,2.1322531700134277,2.1564929485321045,1684278329.0230892,1684278329.04707
