p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
ReLU,0.6145621526365098,0,0,2,1,3,2,off,0.00015682179309802242,49,70.89270782470703,-0.9481035470962524,-0.5759010910987854,131,0.9120810031890868,125.38141226768494,1692098702.003647,1692098826.4725175,0.5759010910987854,21988.927734375,0.9481035470962524,81.72196960449219,70.89270782470703,84.79711151123047,70.98477935791016
Hardswish,0.1255107007620576,0,2,3,0,1,1,off,0.00022382252036658192,34,75.27729034423828,-0.6893746852874756,-0.34850895404815674,132,0.9135532379150392,73.96624040603638,1692098702.00512,1692098775.0573256,0.34850895404815674,11713.0927734375,0.6893746852874756,47.598602294921875,75.27729034423828,83.02167510986328,76.86319732666016
Mish,0.005766922491669393,3,0,2,3,0,0,off,0.0003779125104707031,77,82.34111785888672,-2.4602863788604736,-0.36414867639541626,137,0.9214262962341307,365.7773361206054,1692098702.0129929,1692099066.868419,0.36414867639541626,70069.71875,2.4602863788604736,51.40351867675781,82.34111785888672,93.48798370361328,81.30738067626953
Hardswish,0.004560196758310531,4,1,2,3,1,1,off,1.520800866615226e-05,53,81.19591522216797,-1.3644351959228516,-0.34686079621315,138,0.9234621524810792,165.14591884613037,1692098702.0150294,1692098866.2362983,0.34686079621315,29940.65625,1.3644351959228516,46.4088249206543,81.19591522216797,90.60041046142578,81.70829010009766
Hardswish,0.0043310653445213,2,3,4,1,1,0,on,1.7815452977254642e-05,77,78.11751556396484,-1.3299362659454346,-0.3409651815891266,139,0.9248616695404052,230.70276618003845,1692098702.0164282,1692098931.793877,0.3409651815891266,43069.6875,1.3299362659454346,47.112422943115234,78.11751556396484,71.90410614013672,79.06513977050781
ReLU,0.005784234038506337,2,3,2,1,3,2,on,1.3531569931701012e-05,127,86.4825439453125,-1.2754063606262207,-0.8513338565826416,14,0.8315861225128174,427.47292160987854,1692098701.923184,1692099128.5640266,0.8513338565826416,82406.359375,1.2754063606262207,117.38024139404295,86.4825439453125,92.46443176269533,86.0927734375
Hardswish,0.004996888184797101,1,3,4,0,1,1,on,1.2580369771530378e-05,141,67.33164978027344,-1.0402566194534302,-0.11059428751468658,140,0.927105188369751,321.7737777233124,1692098702.0186746,1692099022.8648682,0.11059428751468658,61263.69921875,1.0402566194534302,11.83180809020996,67.33164978027344,63.88828659057617,65.17481231689453
Hardswish,0.24342042429289903,4,1,3,4,0,1,on,1.144710691049924e-05,79,77.02704620361328,-1.55184006690979,-0.10529695451259612,141,0.9285154342651368,266.40896248817444,1692098702.020086,1692098967.4991405,0.10529695451259612,50193.4609375,1.55184006690979,11.607263565063477,77.02704620361328,78.98751831054688,77.32281494140625
Hardswish,0.00613568178086106,0,0,3,1,3,0,on,6.493309321610965e-05,67,78.19189453125,-0.6259302496910095,-0.13188086450099945,142,0.9295434951782228,123.0461220741272,1692098702.0211132,1692098824.1372108,0.13188086450099945,21518.708984375,0.6259302496910095,16.081281661987305,78.19189453125,76.4110336303711,77.15320587158203
Mish,0.003793101692982041,0,0,1,2,2,4,on,0.0003077434655774584,89,79.6463623046875,-2.718660831451416,-0.5772268772125244,143,0.931720495223999,510.46846413612366,1692098702.0232863,1692099211.559554,0.5772268772125244,99004.34375,2.718660831451416,78.8893814086914,79.6463623046875,79.23133087158203,78.54528045654297
Hardswish,0.02512101966820193,0,0,2,4,4,0,on,3.942220455369723e-05,22,59.60953903198242,-1.797193169593811,-0.3345167934894562,145,0.9343492984771729,95.18978238105774,1692098702.025915,1692098796.2797782,0.3345167934894562,15951.18359375,1.797193169593811,43.18622589111328,59.60953903198242,58.63924407958984,53.75901794433594
Hardswish,0.001436264226455772,3,4,2,3,3,1,off,0.0005195590692018678,128,81.5408706665039,-1.5756508111953735,-0.38257166743278503,147,0.9379544258117676,487.0283596515655,1692098702.0295246,1692099188.1194007,0.38257166743278503,94315.0,1.5756508111953735,55.78777313232422,81.5408706665039,94.55329132080078,79.92545318603516
ReLU,0.02949959010418972,1,1,3,1,3,2,on,1.644475021524002e-05,200,84.88801574707031,-0.8912451863288879,-0.3701955676078797,149,0.9402799606323242,454.7014343738556,1692098702.0318513,1692099155.792515,0.3701955676078797,87850.234375,0.8912451863288879,51.901878356933594,84.88801574707031,87.53106689453125,85.01836395263672
ReLU,0.7447869220306231,0,0,3,0,0,3,off,5.52907056486984e-05,99,77.84609985351562,-0.5886169672012329,-0.13059552013874054,150,0.9420711994171144,159.02448225021362,1692098702.0336416,1692098860.1155996,0.13059552013874054,28714.462890625,0.5886169672012329,15.75973129272461,77.84609985351562,87.49717712402344,77.79801177978516
ReLU,0.26900183818550666,1,3,4,3,4,4,off,0.00025508393505770284,68,61.1212043762207,-2.44815731048584,-0.13045576214790344,152,0.9452559947967528,348.2535865306854,1692098702.0368257,1692099049.344658,0.13045576214790344,66561.1953125,2.44815731048584,15.101733207702637,61.1212043762207,77.54995727539062,58.90792465209961
Hardswish,0.017836651137207313,1,0,2,0,2,3,on,4.225236825840519e-05,178,88.7013931274414,-0.9549392461776732,-0.5735309720039368,154,0.9478347301483154,456.4469881057739,1692098702.0394049,1692099157.5380557,0.5735309720039368,88198.71875,0.9549392461776732,82.94613647460938,88.7013931274414,95.37496948242188,87.95430755615234
Mish,0.0013591200223560943,3,4,1,1,4,1,on,3.642552575101214e-05,49,63.5423583984375,-2.305661201477051,-0.1096007078886032,155,0.948540449142456,237.4859948158264,1692098702.0401075,1692098938.5771017,0.1096007078886032,44407.76953125,2.305661201477051,11.781495094299316,63.5423583984375,64.05663299560547,63.022560119628906
Mish,0.046878741545323385,0,0,1,4,3,0,off,0.00011358498256895358,123,75.5783920288086,-1.8090195655822752,-0.10855405032634736,156,0.9501445293426514,457.94103050231934,1692098702.0417137,1692099159.032116,0.10855405032634736,88504.0390625,1.8090195655822752,11.491494178771973,75.5783920288086,86.51861572265625,76.16682434082031
ReLU,0.007261103670842608,2,0,0,3,1,2,off,4.825954792329097e-05,138,86.09367370605469,-0.9835464358329772,-0.577889084815979,157,0.9514625072479248,338.2598259449005,1692098702.0430598,1692099039.3509495,0.577889084815979,64561.65625,0.9835464358329772,84.02180480957031,86.09367370605469,99.68224334716795,85.31289672851562
Mish,0.00328369166337623,1,2,2,0,2,2,off,8.671078553776101e-05,33,78.23267364501953,-3.393253803253174,-1.007139801979065,158,0.9532358646392822,230.4275858402252,1692098702.044803,1692098931.5186834,1.007139801979065,42997.6171875,3.393253803253174,145.45712280273438,78.23267364501953,85.85797882080078,78.12736511230469
Hardswish,0.17051281645300886,4,2,0,0,4,2,off,4.052302421224497e-05,109,75.6707534790039,-2.081878423690796,-0.5677196383476257,159,0.9548733234405518,498.0463819503784,1692098702.0464437,1692099199.1374707,0.5677196383476257,96518.265625,2.081878423690796,78.29173278808594,75.6707534790039,93.71746826171876,74.81654357910156
Hardswish,0.25963059501287933,1,1,4,1,3,1,off,1.062744798184907e-05,163,69.6891860961914,-1.0723562240600586,-0.10004347562789916,16,0.831566333770752,375.84202241897583,1692098701.9231734,1692099076.933137,0.10004347562789916,72078.3203125,1.0723562240600586,11.460319519042969,69.6891860961914,85.12987518310547,66.86455535888672
