p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
Hardswish,0.8940964692557936,1,0,0,0,2,3,on,0.00024854782417580947,105,67.8552017211914,-0.7906680107116699,-0.29580801725387573,34,0.15890216827392578,734.9003431797028,1691537124.3504922,1691537859.0914958,0.29580801725387573,73289.890625,0.7906680107116699,46.53852081298828,67.8552017211914,92.45726013183594,80.13654327392578
ReLU,0.32649044641664543,2,0,1,3,3,3,on,0.0003369599645543341,117,87.59745025634766,-1.797306776046753,-0.4532114565372467,35,0.16028523445129397,1322.0026814937592,1691537124.351876,1691538446.193831,0.4532114565372467,132003.34375,1.797306776046753,51.88447570800781,87.59745025634766,91.46884155273438,89.25125122070312
Mish,0.5997962946342978,1,2,1,1,4,0,off,0.0005109954539178978,65,73.53880310058594,-1.9166229963302612,-0.4212887585163117,37,0.16282296180725098,678.735907793045,1691537124.3544166,1691537802.9270208,0.4212887585163117,67641.8828125,1.9166229963302612,51.01450729370117,73.53880310058594,58.233943939208984,77.68844604492188
Hardswish,0.9099521232686592,4,3,2,2,3,1,on,0.000316548108856906,59,73.49021911621094,-2.125845432281494,-0.5584567189216614,38,0.16274547576904297,615.6497421264648,1691537124.3543358,1691537739.840873,0.5584567189216614,61359.16015625,2.125845432281494,68.45008850097656,73.49021911621094,86.70410919189453,83.62804412841797
Mish,0.8008982503633475,4,4,3,2,2,2,on,0.000191026089648637,24,77.65308380126953,-3.4252591133117676,-0.6198921799659729,4,0.14273905754089355,573.4747469425201,1691537124.3343472,1691537697.6658642,0.6198921799659729,57137.46484375,3.4252591133117676,89.23184967041016,77.65308380126953,88.38629150390625,78.53290557861328
ReLU,0.2695322786392562,2,3,1,3,3,4,off,0.0003329450744062002,55,85.72259521484375,-1.763959288597107,-0.4494939744472504,40,41.07082009315491,586.2583763599396,1691537165.2624085,1691537710.4496129,0.4494939744472504,54506.4609375,1.763959288597107,54.66687774658203,85.72259521484375,93.13230895996094,81.49668884277344
Hardswish,0.43550128890671014,1,0,4,1,3,1,off,0.0005478169738606436,32,32.20633316040039,-1.2620199918746948,-0.10161007940769196,42,238.64598894119263,535.2154145240784,1691537362.837579,1691537659.4066632,0.10161007940769196,29644.626953125,1.2620199918746948,11.299131393432615,32.20633316040039,71.05279541015625,58.76565170288086
Hardswish,0.4389754889135588,3,2,4,4,3,1,off,6.0867218536774145e-05,52,88.98707580566406,-2.702954053878784,-0.3842182159423828,49,586.4417595863342,1018.1408305168152,1691537710.6333494,1691538142.3320334,0.3842182159423828,43157.6015625,2.702954053878784,55.45072555541992,88.98707580566406,90.48875427246094,66.6020278930664
Mish,0.01145572394297191,2,0,0,0,2,3,on,0.00046284794870822874,77,92.729736328125,-2.278676986694336,-0.5467490553855896,5,0.14273834228515625,842.9877054691315,1691537124.3343408,1691537967.178842,0.5467490553855896,84088.765625,2.278676986694336,85.48101806640625,92.729736328125,93.13917541503906,91.99114990234376
Hardswish,0.8238202629586333,0,4,4,4,1,1,off,2.473716808194801e-05,27,85.09062194824219,-2.1211013793945312,-0.06185424327850342,51,676.9191696643829,956.95135307312,1691537801.110754,1691538081.1425936,0.06185424327850342,27990.890625,2.1211013793945312,9.26210117340088,85.09062194824219,78.71969604492188,73.65286254882812
ReLU,0.010316339291749022,2,0,0,4,3,1,off,7.641292805415485e-05,47,90.8007583618164,-1.327291488647461,-0.34559348225593567,52,678.9400017261505,1023.6277689933776,1691537803.1315987,1691538147.8189652,0.34559348225593567,34456.41015625,1.327291488647461,48.852176666259766,90.8007583618164,94.94795989990234,90.63916778564452
ReLU,0.13339299917928074,1,1,4,4,0,1,off,7.784393110076621e-05,29,84.54051208496094,-1.4496209621429443,-0.08964256197214127,53,735.0952315330505,941.9538266658784,1691537859.2868166,1691538066.1451488,0.08964256197214127,20673.546875,1.4496209621429443,9.561264991760254,84.54051208496094,90.14318084716795,73.3919677734375
ReLU,0.016960683364668532,1,1,4,4,1,0,on,0.00013583910930881491,89,87.3975601196289,-1.553057312965393,-0.05740727111697197,57,924.609105348587,1626.713747024536,1691538048.8006902,1691538750.9049385,0.05740727111697197,70198.109375,1.553057312965393,8.963860511779785,87.3975601196289,88.50727081298828,90.00259399414062
ReLU,0.5084581581998967,2,1,3,4,3,0,off,0.00011625230363836782,33,88.57852935791016,-1.4466615915298462,-0.3920954167842865,59,942.1515126228333,1249.9644923210144,1691538066.3430965,1691538374.1557326,0.3920954167842865,30768.986328125,1.4466615915298462,46.371337890625,88.57852935791016,90.4575424194336,67.54196166992188
ReLU,0.5901998892718511,3,1,1,1,0,4,off,0.00019902039011844973,100,86.63724517822266,-1.5113998651504517,-0.12284141033887865,6,0.14261627197265625,801.0904154777527,1691537124.3342226,1691537925.281564,0.12284141033887865,79912.7265625,1.5113998651504517,12.026200294494627,86.63724517822266,84.98976135253906,76.40650177001953
ReLU,0.4469786356520736,3,1,4,4,0,4,off,0.0004944150879020909,24,45.1258430480957,-1.7656928300857544,-0.11087176203727722,61,1018.3417122364044,1229.0288999080658,1691538142.5332987,1691538353.2201371,0.11087176203727722,21056.41796875,1.7656928300857544,12.416253089904783,45.1258430480957,81.56585693359375,53.436485290527344
ReLU,0.4775409125808417,2,0,3,4,1,1,on,0.00019693737318084723,49,82.91438293457031,-1.3840800523757937,-0.3522310256958008,62,1023.829907655716,1436.3677821159365,1691538148.0215008,1691538560.5590093,0.3522310256958008,41241.41796875,1.3840800523757937,41.160545349121094,82.91438293457031,89.01557159423828,84.77056884765625
ReLU,0.8565751116299934,0,0,1,4,4,0,off,7.205150264994385e-05,39,61.67124938964844,-2.1029295921325684,-0.10078337043523788,67,1263.409615278244,1536.1811878681185,1691538387.601199,1691538660.3724074,0.10078337043523788,27264.798828125,2.1029295921325684,8.623930931091309,61.67124938964844,79.07048034667969,68.80485534667969
ReLU,0.8101084974846475,1,3,4,3,4,4,off,0.000706308138469839,68,31.3989315032959,-2.4175188541412354,-0.07093122601509094,7,0.14255857467651367,864.8341307640076,1691537124.3341696,1691537989.0252624,0.07093122601509094,86271.5546875,2.4175188541412354,12.188222885131836,31.3989315032959,62.31251907348633,58.8114013671875
Hardswish,0.3916826232567003,2,4,4,2,0,2,on,4.288320643905542e-05,76,89.89018249511719,-2.5086629390716553,-0.794677734375,9,0.1512246131896973,929.251044034958,1691537124.3428144,1691538053.442135,0.794677734375,92715.125,2.5086629390716553,107.2558135986328,89.89018249511719,91.73228454589844,82.7210464477539
Hardswish,0.6160828229477605,1,2,0,4,3,3,off,0.0009971470563748914,198,72.11526489257812,-1.8017491102218628,-0.3402843475341797,79,1704.1889457702637,3767.290113210678,1691538828.3805373,1691540891.4810493,0.3402843475341797,206297.75,1.8017491102218628,58.29192352294922,72.11526489257812,91.59628295898438,93.3404312133789
Mish,0.4641672795220607,1,1,1,4,2,4,off,6.756404093732099e-05,189,58.613243103027344,-3.042976140975952,-0.32167136669158936,0,0.14257359504699707,1957.8559987545011,1691537124.3341668,1691539082.047141,0.32167136669158936,195566.234375,3.042976140975952,54.42607879638672,58.613243103027344,96.88034057617188,76.15623474121094
Mish,0.4782129244508872,4,4,3,4,3,1,off,0.00012890844532664292,113,92.2436294555664,-2.7950100898742676,-0.12749846279621124,1,0.1424083709716797,2085.5104184150696,1691537124.3340058,1691539209.701573,0.12749846279621124,208339.78125,2.7950100898742676,15.844511985778809,92.2436294555664,93.40496063232422,82.92743682861328
Hardswish,0.6337694803721502,2,4,1,4,3,4,on,0.00019768932644087964,130,91.8297348022461,-2.059042692184448,-0.5004900693893433,12,0.15137648582458496,1946.7593750953672,1691537124.3429673,1691539070.9505155,0.5004900693893433,194465.96875,2.059042692184448,46.87302017211914,91.8297348022461,91.09881591796876,83.15171813964844
Mish,0.8420572542706869,4,0,0,2,1,4,off,0.0004860618284620067,122,75.39710235595703,-4.182661533355713,-0.3893358111381531,13,0.14647817611694336,1948.729913711548,1691537124.3380675,1691539072.9210627,0.3893358111381531,194666.375,4.182661533355713,42.52814102172851,75.39710235595703,91.03987121582033,47.15800857543945
Mish,0.9695835746830818,2,2,0,0,1,4,on,0.0008841742127902219,161,83.45970153808594,-3.637140274047851,-0.5751837491989136,18,0.15382003784179688,2046.1747255325315,1691537124.3454125,1691539170.365857,0.5751837491989136,204395.4375,3.637140274047851,71.41919708251953,83.45970153808594,85.02127075195312,87.3954849243164
Hardswish,0.001347748990673196,2,3,4,4,4,2,off,0.0008579682464259483,135,92.48601531982422,-2.112622022628784,-0.5704118609428406,19,0.14626693725585938,1795.3258576393127,1691537124.337858,1691538919.5169303,0.5704118609428406,179320.625,2.112622022628784,104.6400146484375,92.48601531982422,98.15632629394533,91.90739440917967
Mish,0.8875345539242077,2,4,4,1,3,4,on,0.00018026010438260744,133,77.8543472290039,-2.8518922328948975,-0.41339749097824097,24,0.14953207969665527,1941.1536226272583,1691537124.341123,1691539065.344777,0.41339749097824097,193908.734375,2.8518922328948975,46.126564025878906,77.8543472290039,84.80838012695312,86.48568725585938
Mish,0.7063472666611552,2,1,3,0,2,2,on,0.0009055652652709252,170,85.72407531738281,-3.264430522918701,-0.9882586002349854,25,0.15183758735656738,3071.2052884101868,1691537124.3434317,1691540195.3964224,0.9882586002349854,306905.125,3.264430522918701,99.6147689819336,85.72407531738281,87.67532348632812,88.6866455078125
Mish,0.8850877758131138,1,0,2,2,2,2,off,0.0005835338363107446,145,86.91630554199219,-3.882710456848145,-0.7925608158111572,36,0.16137170791625977,2682.852650165558,1691537124.352965,1691539807.0437777,0.7925608158111572,268062.5625,3.882710456848145,127.56941223144533,86.91630554199219,95.31702423095705,71.59698486328125
