p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Hardswish,0.30624035404029665,2,1,2,4,1,0,on,0.0006567210961338221,59,63.260597229003906,-1.5398383140563965,-0.6963284015655518,17,0.45926380157470703,490.312251329422,1688961058.9070246,1688961548.759341,63.260597229003906,78.0833969116211,0.6963284015655518,81.4507827758789,74.7723388671875,48707.125,1.5398383140563965
ReLU,0.27896682938619055,4,1,1,4,0,0,off,0.0008284803758069197,60,62.560699462890625,-1.5964361429214478,-0.09559709578752518,170,181.14961862564087,658.0880129337311,1688961239.5973606,1688961716.5353932,62.560699462890625,73.96559143066406,0.09559709578752518,10.994115829467772,54.286521911621094,47681.44921875,1.5964361429214478
ReLU,0.12744713730198698,4,0,3,1,3,2,off,0.0005477123062791238,1,54.63177108764648,-1.648496389389038,-0.37110406160354614,173,218.82927179336548,230.9988105297089,1688961277.277016,1688961289.4462018,54.63177108764648,70.19707489013672,0.37110406160354614,51.20216369628906,45.96115493774414,1213.4149169921875,1.648496389389038
Hardswish,0.2252484434198817,1,0,0,0,0,4,off,0.0009716028294699744,57,55.8754768371582,-1.0522544384002686,-0.08268781751394272,174,225.44154596328735,620.8874444961548,1688961283.8892872,1688961679.3347974,55.8754768371582,82.0831298828125,0.08268781751394272,9.482216835021973,62.79769515991211,39532.21484375,1.0522544384002686
Hardswish,0.3610400803306923,0,0,0,0,0,4,off,0.0006162628763181805,43,64.28276062011719,-1.1853652000427246,-0.02473760023713112,176,255.77835845947263,546.7660868167877,1688961314.2261002,1688961605.213482,64.28276062011719,79.75469207763672,0.02473760023713112,9.91159439086914,62.75143051147461,29086.4140625,1.1853652000427246
Hardswish,0.37548231952100813,0,0,0,0,0,1,off,0.0005513780091754489,96,75.13581085205078,-0.9327244162559508,-0.08205869048833847,178,270.9251480102539,729.6868252754211,1688961329.372889,1688961788.1341696,75.13581085205078,86.78683471679688,0.08205869048833847,9.781580924987791,67.49640655517578,45863.83984375,0.9327244162559508
Hardswish,0.17938612870291415,1,0,4,2,1,1,on,0.0005970417222650453,59,63.548240661621094,-1.7327476739883425,-0.3553240895271301,18,0.44937801361083984,430.3623032569885,1688961058.897133,1688961488.8094172,63.548240661621094,79.88592529296875,0.3553240895271301,44.74431991577149,78.58934783935547,42718.35546875,1.7327476739883425
Mish,0.03953886220783835,3,1,4,3,1,1,on,0.00017770523044861734,24,85.00116729736328,-2.0936293601989746,-0.1239420399069786,180,276.27160906791687,615.1413781642914,1688961334.7193537,1688961673.5887568,85.00116729736328,88.71525573730469,0.1239420399069786,15.017184257507324,90.6318817138672,33874.64453125,2.0936293601989746
Hardswish,0.3880007287957204,1,0,0,0,0,2,off,0.0004038158210783223,90,82.36697387695312,-0.7748839855194092,-0.3432989716529846,191,430.57345485687256,888.2254354953766,1688961489.021196,1688961946.6728275,82.36697387695312,93.16693115234376,0.3432989716529846,42.3285026550293,83.39232635498047,45752.859375,0.7748839855194092
Mish,0.05237397580879339,1,0,0,0,0,0,off,0.0006191039386021171,42,86.57341766357422,-1.1292541027069092,-0.09562549740076064,194,447.167943239212,829.7164845466614,1688961505.6156871,1688961888.1638792,86.57341766357422,89.9693374633789,0.09562549740076064,9.240863800048828,77.8282699584961,38242.52734375,1.1292541027069092
