p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Hardswish,0.0021611972489123,2,4,1,3,2,3,off,9.103327421257144e-05,168,82.16925048828125,-1.627953290939331,-0.6042088270187378,52,1691794005.3592513,1691794631.420819,0.6042088270187378,124945.0390625,1.627953290939331,86.44852447509766,82.16925048828125,99.33219909667967,81.48552703857422,False
Hardswish,0.004539827048623,1,2,3,1,1,2,on,0.0001030806883378,116,86.88639831542969,-1.0026123523712158,-0.5760689973831177,53,1691794005.3630044,1691794283.5312426,0.5760689973831177,55372.703125,1.0026123523712158,82.94053649902344,86.88639831542969,93.05970764160156,86.92906188964844,False
Mish,0.0047416482550922,2,1,1,3,2,0,on,0.000170368765556,5,48.248313903808594,-2.430505990982056,-0.5905013680458069,54,1691794005.3666215,1691794028.7667596,0.5905013680458069,4434.95068359375,2.430505990982056,82.59832763671875,48.248313903808594,46.39827728271485,49.15815734863281,False
ReLU,0.0257773742717162,4,4,4,4,1,1,on,2.0621793513616023e-05,190,67.55493927001953,-2.658686876296997,-0.0608120001852512,55,1691794005.3702097,1691795007.1001563,0.0608120001852512,200086.25,2.658686876296997,7.986146450042725,67.55493927001953,63.24381256103516,70.29864501953125,False
ReLU,0.0078450510221831,2,2,0,4,0,2,off,2.8352280590283774e-05,25,77.2878189086914,-1.6794902086257937,-0.7992739081382751,56,1691794005.3739512,1691794098.3058484,0.7992739081382751,18328.900390625,1.6794902086257937,114.2262191772461,77.2878189086914,85.78641510009766,77.67058563232422,False
ReLU,0.1698322488317799,2,3,4,2,0,3,on,0.0001857444770735,116,85.3296127319336,-1.6772801876068115,-0.6119905710220337,57,1691794005.377436,1691794461.9778335,0.6119905710220337,91062.90625,1.6772801876068115,88.3101577758789,85.3296127319336,90.0933074951172,84.25113677978516,False
Mish,0.104008665632818,1,0,2,2,3,1,off,0.0002786845335402,175,87.79328155517578,-2.3095407485961914,-0.5855868458747864,58,1691794005.381615,1691794866.945429,0.5855868458747864,172054.9375,2.3095407485961914,81.76268768310547,87.79328155517578,99.93453979492188,87.70597839355469,False
ReLU,0.3871411713220512,1,3,1,0,1,0,off,0.0006501538745095,67,52.4602165222168,-0.5432756543159485,-0.1071901842951774,59,1691794005.3856468,1691794098.3968806,0.1071901842951774,18340.0078125,0.5432756543159485,11.5213041305542,52.4602165222168,61.79659271240234,42.40591049194336,False
Hardswish,0.0256738396507713,1,4,2,3,2,0,off,1.3420744679205245e-05,183,85.19876098632812,-1.4974974393844604,-0.5742803812026978,60,1691794005.389285,1691794640.7603793,0.5742803812026978,126825.265625,1.4974974393844604,82.7366714477539,85.19876098632812,99.83390045166016,84.4371337890625,False
Hardswish,0.0025085891921532,4,0,1,1,2,3,off,4.770842677626432e-05,49,74.19092559814453,-1.3250975608825684,-0.3522282242774963,61,1691794005.392495,1691794144.2610612,0.3522282242774963,27518.3671875,1.3250975608825684,47.372406005859375,74.19092559814453,82.26937103271484,76.4225082397461,False
ReLU,0.1011061249584716,1,0,3,2,0,1,on,5.964868712912288e-05,64,79.2183609008789,-0.7618446946144104,-0.3477568328380584,62,1691794005.3962257,1691794119.019065,0.3477568328380584,22463.546875,0.7618446946144104,47.1291389465332,79.2183609008789,80.90724182128906,78.46308135986328,False
ReLU,0.1444980348890255,3,1,1,1,1,3,on,0.0001072211837241,64,18.93083381652832,-0.7451454997062683,-0.1347366869449615,63,1691794005.3999093,1691794116.8827798,0.1347366869449615,22035.826171875,0.7451454997062683,15.571041107177734,18.93083381652832,27.632848739624023,16.390199661254883,False
ReLU,0.02081189416708,3,0,3,2,1,3,off,0.0002675804201341,5,54.61572647094727,-0.9955955147743224,-0.3957235217094421,64,1691794005.403946,1691794018.9342012,0.3957235217094421,2463.591796875,0.9955955147743224,54.69617462158203,54.61572647094727,58.26540756225586,56.59054565429688,False
ReLU,0.0018976540094417,0,4,0,1,1,2,off,7.945510981016197e-05,45,69.4653549194336,-1.0961910486221311,-0.3661450445652008,65,1691794005.4076889,1691794112.746631,0.3661450445652008,21214.095703125,1.0961910486221311,43.91355514526367,69.4653549194336,78.00458526611328,70.71077728271484,False
Mish,0.0037304031393361,4,3,1,3,3,3,off,5.580172898085239e-05,125,77.97900390625,-3.292732715606689,-0.1836478412151336,66,1691794005.4111135,1691794835.826074,0.1836478412151336,165824.5,3.292732715606689,24.769681930541992,77.97900390625,89.60859680175781,77.57341003417969,False
ReLU,0.0016310810052829,1,1,4,3,3,3,off,0.0007335153068306,87,59.798675537109375,-1.3383909463882446,-0.1536066532135009,67,1691794005.415228,1691794268.885295,0.1536066532135009,52432.73828125,1.3383909463882446,19.773366928100582,59.798675537109375,68.30351257324219,59.09407424926758,False
ReLU,0.4215904400618402,4,4,4,2,2,0,off,0.0002923132644089,64,42.476016998291016,-2.5473897457122803,-0.5652033090591431,68,1691794005.419099,1691794353.3509552,0.5652033090591431,69351.6953125,2.5473897457122803,79.12064361572266,42.476016998291016,54.639686584472656,45.64323043823242,False
Hardswish,0.623679836224366,1,0,1,4,4,4,off,0.0002008640593357,91,48.834354400634766,-2.0826594829559326,-0.061204832047224,69,1691794005.422338,1691794356.957542,0.061204832047224,70058.5234375,2.0826594829559326,7.752520561218262,48.834354400634766,65.04544830322266,51.51697540283203,False
Hardswish,0.0063753191500203,3,3,2,0,2,3,on,3.3603208087703525e-05,150,87.58456420898438,-1.161354899406433,-0.639279305934906,70,1691794005.4258027,1691794468.050596,0.639279305934906,92276.7421875,1.161354899406433,92.23925018310548,87.58456420898438,93.5661163330078,86.93557739257812,False
Mish,0.0351582431282251,1,1,4,3,3,0,off,6.127894275365897e-05,166,69.15715026855469,-1.956669807434082,-0.1355069726705551,71,1691794005.429749,1691794742.4906914,0.1355069726705551,147164.359375,1.956669807434082,15.648359298706056,69.15715026855469,86.01387023925781,66.81595611572266,False
Hardswish,0.097575332926049,3,4,4,1,1,0,off,5.701689332509628e-05,26,52.4721565246582,-1.6856937408447266,-0.1128644868731498,72,1691794005.433831,1691794090.920615,0.1128644868731498,16853.26953125,1.6856937408447266,11.459638595581056,52.4721565246582,60.536739349365234,50.00454330444336,False
Hardswish,0.0028118662127872,4,1,3,0,3,4,off,9.870920770609648e-05,126,74.27251434326172,-1.7696080207824707,-0.1324243247509002,73,1691794005.4371085,1691794463.049669,0.1324243247509002,91276.1015625,1.7696080207824707,15.475801467895508,74.27251434326172,87.45738220214844,73.59020233154297,False
Hardswish,0.4542422772171114,2,2,2,3,4,0,off,5.433851753406544e-05,100,81.90277099609375,-1.8567641973495483,-0.8220760226249695,74,1691794005.441226,1691794413.3598418,0.8220760226249695,81327.1328125,1.8567641973495483,118.98333740234376,81.90277099609375,92.50787353515624,82.11650085449219,False
Mish,0.3153535359841993,1,0,1,4,4,4,off,1.2168954858227198e-05,114,61.75981903076172,-2.2079224586486816,-0.0607641898095607,75,1691794005.444849,1691794509.926251,0.0607641898095607,100644.65625,2.2079224586486816,7.668200969696045,61.75981903076172,69.91097259521484,62.10911178588867,False
Mish,0.511687947300874,0,2,3,3,4,3,off,4.018995645179104e-05,112,80.82373046875,-3.5811924934387207,-0.3974358737468719,76,1691794005.4486046,1691794837.480435,0.3974358737468719,166159.75,3.5811924934387207,54.875030517578125,80.82373046875,93.88265228271484,80.58311462402344,False
