,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
74,ReLU,0.08503875283351185,1,2,0,0,4,2,on,0.0002515654689937262,176,94.66557312011719,-1.7211381196975708,-0.5668572783470154,74,1688794996.4824872,1688796617.976698,94.66557312011719,96.31595611572266,0.5668572783470154,56.14394760131836,94.52604675292969,162137.015625,1.7211381196975708
75,ReLU,0.10279344004672633,1,2,0,0,4,2,on,0.00026284875572149205,174,94.87520599365234,-1.714248776435852,-0.6087245941162109,75,1688795114.3162074,1688796637.058803,94.87520599365234,96.30841064453125,0.6087245941162109,56.20945358276367,94.4272232055664,152261.84375,1.714248776435852
76,ReLU,0.10180120750530205,1,2,0,0,4,2,on,0.00029984015570052615,190,94.81404876708984,-1.7162706851959229,-0.6105117797851562,76,1688795182.775352,1688796894.271599,94.81404876708984,96.25445556640625,0.6105117797851562,56.06093978881836,94.35712432861328,171137.140625,1.7162706851959229
77,ReLU,0.07802808804188885,1,2,0,0,4,2,on,0.00023916324214073235,170,94.57709503173828,-1.698198914527893,-0.568522572517395,77,1688795201.22983,1688796665.6348033,94.57709503173828,96.53528594970703,0.568522572517395,56.50551986694336,94.29130554199219,146428.109375,1.698198914527893
78,ReLU,0.07525692060362499,1,2,0,0,4,2,on,0.0006256238531162109,200,94.88421630859375,-1.6082220077514648,-0.600612998008728,78,1688795289.290751,1688796963.1494193,94.88421630859375,95.02497100830078,0.600612998008728,56.62373352050781,93.90238189697266,167373.78125,1.6082220077514648
79,ReLU,0.09534678896702664,1,2,0,0,4,0,on,0.0006467891376810291,198,94.22295379638672,-1.5935219526290894,-0.2825302183628082,79,1688795325.8238118,1688796855.494642,94.22295379638672,93.8339614868164,0.2825302183628082,40.52313232421875,93.82312774658203,152954.625,1.5935219526290894
80,ReLU,0.08682176440005465,1,2,0,0,1,2,on,0.0006546830381073379,195,94.8854751586914,-1.1618307828903198,-0.5675318837165833,80,1688795332.005898,1688796499.0804255,94.8854751586914,93.90658569335938,0.5675318837165833,59.475074768066406,94.01284790039062,116695.0625,1.1618307828903198
81,ReLU,0.08527809835392404,1,2,0,0,1,2,on,0.0006368082561475492,200,95.01482391357422,-1.098441481590271,-0.5643664002418518,81,1688795396.0649502,1688796540.415796,95.01482391357422,94.55741119384766,0.5643664002418518,59.36503601074219,94.05274963378906,114422.671875,1.098441481590271
82,ReLU,0.08295842203393493,1,2,0,0,4,2,on,0.0006403808040833169,194,94.72840118408203,-1.6388453245162964,-0.6061579585075378,82,1688795396.4320095,1688797035.594342,94.72840118408203,94.20480346679688,0.6061579585075378,56.2856559753418,93.87068939208984,163911.125,1.6388453245162964
83,ReLU,0.0845491866069015,1,2,0,0,4,2,on,0.0006336376341036243,198,94.69085693359375,-1.6026451587677002,-0.606178879737854,83,1688795398.35138,1688797066.2500045,94.69085693359375,94.71216583251953,0.606178879737854,56.20083236694336,93.90726470947266,166777.578125,1.6026451587677002
84,Hardswish,0.30110598484004314,4,2,1,0,4,2,on,0.00018989160089529324,184,92.85663604736328,-1.717445731163025,-0.6170754432678223,84,1688795416.9237046,1688797546.454378,92.85663604736328,94.36936950683594,0.6170754432678223,74.58699035644531,92.43541717529297,212944.265625,1.717445731163025
85,Hardswish,0.3091771655419801,4,2,1,0,4,2,on,0.0004956372358165715,183,56.678340911865234,-1.7448607683181763,-0.6121932864189148,85,1688795429.6505,1688797474.681438,56.678340911865234,92.19144439697266,0.6121932864189148,76.4830322265625,91.52828216552734,204490.75,1.7448607683181763
86,Hardswish,0.2883746501727583,4,2,1,0,4,2,on,0.0004955666291899419,156,40.95341110229492,-1.716051697731018,-0.6115038394927979,86,1688795430.0618575,1688797181.2166219,40.95341110229492,81.49588775634766,0.6115038394927979,75.89447784423828,89.24207305908203,175103.0625,1.716051697731018
87,Hardswish,0.2893029131908258,4,2,1,0,4,2,on,0.0005081909674534511,162,82.92984771728516,-1.7362480163574219,-0.6114917993545532,87,1688795462.4483294,1688797265.0283036,82.92984771728516,82.93248748779297,0.6114917993545532,76.27653503417969,88.9957046508789,180245.625,1.7362480163574219
88,ReLU,0.10354147654310242,4,2,0,0,4,0,on,0.00026117359015394423,174,92.22665405273438,-1.8922762870788574,-0.29588788747787476,88,1688795508.046035,1688797442.5926492,92.22665405273438,94.90853881835938,0.29588788747787476,44.0158805847168,94.1588363647461,193442.296875,1.8922762870788574
89,ReLU,0.28914453093234743,4,0,0,0,4,2,on,0.0002552450707606077,200,93.93048095703125,-1.9447922706604004,-0.36348757147789,89,1688795523.20937,1688797322.5608084,93.93048095703125,96.64716339111328,0.36348757147789,48.688743591308594,92.7993392944336,179922.765625,1.9447922706604004
90,ReLU,0.2892402864628331,4,2,0,0,4,0,on,0.0005014779400447161,200,81.24065399169922,-1.8638842105865479,-0.28881150484085083,90,1688795564.7119055,1688797895.0004938,81.24065399169922,90.15580749511719,0.28881150484085083,44.6290397644043,93.7209243774414,233017.453125,1.8638842105865479
91,ReLU,0.28478287030716454,4,2,0,0,4,0,on,0.0006491124680819726,195,90.73550415039062,-1.9532345533370972,-0.28836730122566223,91,1688795608.02749,1688797913.5193293,90.73550415039062,89.15926361083984,0.28836730122566223,43.170005798339844,92.14443969726562,230536.796875,1.9532345533370972
92,Mish,0.28594079394700544,4,2,0,0,4,1,on,0.0002477409546358758,177,91.91696166992188,-1.6794167757034302,-0.3058723211288452,92,1688795632.7858772,1688797734.5031064,91.91696166992188,91.80168914794922,0.3058723211288452,42.990325927734375,90.98281860351562,210159.3125,1.6794167757034302
