p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Mish,0.516966295901598,2,2,2,4,2,0,on,0.000200483957428,86,78.23052978515625,-4.002851963043213,-1.0526971817016602,38,1691698233.729189,1691698948.8278267,1.0526971817016602,142870.90625,4.002851963043213,147.81089782714844,78.23052978515625,78.19273376464844,77.6978759765625,False
Hardswish,0.2666423739265826,2,2,4,2,1,3,off,0.0001342841655799,56,79.19706726074219,-1.868895411491394,-0.8271206021308899,39,1691698233.7188284,1691698469.8995745,0.8271206021308899,47091.09765625,1.868895411491394,126.6425552368164,79.19706726074219,89.73442077636719,78.18083190917969,False
Hardswish,0.0029812212372476,0,0,1,3,2,0,on,8.481572736002657e-05,98,79.52627563476562,-0.714500367641449,-0.3409141302108764,40,1691698233.7493565,1691698402.8716576,0.3409141302108764,33593.453125,0.714500367641449,46.76268005371094,79.52627563476562,76.70448303222656,79.314697265625,False
Mish,0.079517231652035,0,1,4,4,4,4,off,0.0003407231538022,79,44.75439453125,-3.027892589569092,-0.0581984370946884,41,1691698233.7589996,1691698706.7175865,0.0581984370946884,94424.484375,3.027892589569092,7.604053020477295,44.75439453125,59.22869873046875,38.7245979309082,False
Hardswish,0.5221500659780158,1,1,4,2,1,2,off,2.021560179542289e-05,71,54.02667236328125,-1.4980467557907104,-0.5683224201202393,42,1691698233.755692,1691698459.724095,0.5683224201202393,44965.73828125,1.4980467557907104,79.46066284179688,54.02667236328125,73.35385131835938,47.79087448120117,False
ReLU,0.8792368038938797,4,3,3,0,1,0,on,0.00072107990343,105,40.60636138916016,-1.3082510232925415,-0.133413478732109,43,1691698233.7653253,1691698542.4998727,0.133413478732109,61550.21875,1.3082510232925415,15.890101432800291,40.60636138916016,60.184608459472656,43.054805755615234,False
Hardswish,0.623679836224366,1,0,1,4,4,4,off,0.0002008640593357,91,48.834354400634766,-2.0826594829559326,-0.061204832047224,44,1691698233.7683277,1691698585.1683395,0.061204832047224,70058.5234375,2.0826594829559326,7.752520561218262,48.834354400634766,65.04544830322266,51.51697540283203,False
ReLU,0.1698322488317799,2,3,4,2,0,3,on,0.0001857444770735,116,85.3296127319336,-1.6772801876068115,-0.6119905710220337,45,1691698233.7745695,1691698690.1800776,0.6119905710220337,91062.90625,1.6772801876068115,88.3101577758789,85.3296127319336,90.0933074951172,84.25113677978516,False
ReLU,0.0107082740385183,4,1,3,0,2,1,off,0.0001242310834296,167,84.22373962402344,-1.298851490020752,-0.3486912250518799,46,1691698233.7774827,1691698708.9202878,0.3486912250518799,94818.2421875,1.298851490020752,47.48073196411133,84.22373962402344,98.58000183105467,83.79391479492188,False
ReLU,0.0287585464501183,3,4,3,1,4,3,on,0.0003015173797121,123,83.77449798583984,-2.0019545555114746,-0.1565687805414199,47,1691698233.7804544,1691698748.883143,0.1565687805414199,102816.1640625,2.0019545555114746,20.012836456298828,83.77449798583984,87.4163589477539,82.8443603515625,False
Mish,0.4627555715408347,1,2,1,0,3,4,on,0.0002505122989492,112,65.54521942138672,-2.216524362564087,-0.346794843673706,48,1691698233.7833147,1691698754.6288571,0.346794843673706,103986.3046875,2.216524362564087,48.187007904052734,65.54521942138672,70.01776123046875,69.9179916381836,False
ReLU,0.4811427664102877,3,0,0,0,3,0,on,0.0003059711797577,31,41.42267608642578,-0.6437246203422546,-0.1342142224311828,49,1691698233.7863567,1691698280.8368502,0.1342142224311828,9295.0244140625,0.6437246203422546,15.441081047058104,41.42267608642578,55.65372467041016,41.38690185546875,False
Mish,0.2875495491828035,4,4,4,0,0,0,on,1.5235247537061269e-05,36,24.56309127807617,-2.7505362033843994,-0.0577319674193859,50,1691698233.8129773,1691698423.4235945,0.0577319674193859,37745.20703125,2.7505362033843994,7.719540119171143,24.56309127807617,29.282115936279297,28.673206329345703,False
Hardswish,0.0021611972489123,2,4,1,3,2,3,off,9.103327421257144e-05,168,82.16925048828125,-1.627953290939331,-0.6042088270187378,51,1691698233.8158915,1691698859.5929313,0.6042088270187378,124945.0390625,1.627953290939331,86.44852447509766,82.16925048828125,99.33219909667967,81.48552703857422,False
ReLU,0.560938550787548,4,3,4,1,2,1,on,0.0006892723838694,184,73.51689147949219,-1.9647085666656492,-0.3460675179958343,52,1691698233.8291135,1691699010.0043144,0.3460675179958343,155040.84375,1.9647085666656492,46.978946685791016,73.51689147949219,75.31202697753906,74.53604125976562,False
Hardswish,0.0044009833236853,3,0,3,2,2,4,off,0.0006327539092762,74,79.59683227539062,-1.7168982028961182,-0.5968017578125,53,1691698233.822704,1691698519.5698974,0.5968017578125,56942.51171875,1.7168982028961182,85.82723236083984,79.59683227539062,91.64127349853516,79.91788482666016,False
