p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
ReLU,0.5920175539246427,4,0,0,2,4,2,on,0.0008515670492331635,58,31.110092163085938,-2.202258348464966,-0.5356115698814392,24,0.4595820903778076,759.5951292514801,1688837082.8884308,1688837842.0234756,31.110092163085938,30.24431610107422,0.5356115698814392,75.4609603881836,48.101322174072266,75497.015625,2.202258348464966
Hardswish,0.8311582906562789,3,3,4,4,4,2,off,0.0003685486241034268,20,52.60197830200195,-2.9525704383850098,-0.3968351483345032,3,0.4087831974029541,356.13955330848694,1688837082.8376396,1688837438.5671763,52.60197830200195,88.94436645507812,0.3968351483345032,49.98919296264648,45.73851776123047,35152.203125,2.9525704383850098
Mish,0.267704312804899,1,3,3,3,0,3,off,0.0003971900885623826,84,86.52088928222656,-2.3359107971191406,-0.17716513574123385,33,0.4615154266357422,854.1810715198517,1688837082.8903558,1688837936.6094072,86.52088928222656,92.5589599609375,0.17716513574123385,20.09690284729004,87.6397933959961,84954.4921875,2.3359107971191406
Hardswish,0.8664032841696334,4,4,1,4,4,0,on,0.0008841720012440754,22,31.36657333374023,-1.8994430303573608,-0.07444946467876434,38,0.4879035949707031,284.953635931015,1688837082.916742,1688837367.381988,31.36657333374023,54.003292083740234,0.07444946467876434,8.860721588134766,37.69817733764648,28031.53515625,1.8994430303573608
Mish,0.6798280459540027,3,0,3,0,3,3,off,0.00010892925060438098,41,79.91849517822266,-2.663186550140381,-0.13691313564777374,4,0.40857434272766113,695.1333346366882,1688837082.837412,1688837777.561707,79.91849517822266,92.32474517822266,0.13691313564777374,17.294221878051758,76.77454376220703,69069.390625,2.663186550140381
Hardswish,0.25166016843680744,4,3,3,0,0,3,off,0.000183480768345327,28,84.23066711425781,-1.3807083368301392,-0.12348251044750214,40,0.4675910472869873,257.39014434814453,1688837082.8964305,1688837339.817828,84.23066711425781,92.53976440429688,0.12348251044750214,17.780136108398438,85.6009292602539,25277.10546875,1.3807083368301392
Hardswish,0.49116900813857306,2,0,1,1,2,2,on,0.0004800813775727291,25,67.73516845703125,-1.153226017951965,-0.9689287543296814,42,0.4736924171447754,297.51392245292664,1688837082.9025323,1688837379.9416132,67.73516845703125,73.75479888916016,0.9689287543296814,104.16649627685548,45.563812255859375,29286.341796875,1.153226017951965
Hardswish,0.25575180545816756,0,0,4,3,1,1,on,0.0006796062546907674,67,51.43506622314453,-2.3037314414978027,-0.09624303132295609,45,0.5013000965118408,503.96380519866943,1688837082.9301505,1688837586.3914728,51.43506622314453,81.2386245727539,0.09624303132295609,11.381203651428224,75.9754867553711,49941.09765625,2.3037314414978027
ReLU,0.20119851755848303,3,2,0,0,0,1,on,0.0003771487931380236,173,90.82237243652344,-1.0199521780014038,-0.32171177864074707,46,0.48150038719177246,981.24671459198,1688837082.9103396,1688838063.6750698,90.82237243652344,92.34780883789062,0.32171177864074707,46.44788360595703,92.8927993774414,97661.3984375,1.0199521780014038
ReLU,0.44234161930165783,2,0,3,4,2,0,off,0.0008184066215995878,31,57.188629150390625,-1.5182065963745115,-0.6884412169456482,48,0.48514652252197266,363.5063989162445,1688837082.9139795,1688837445.9341176,57.188629150390625,70.40190887451172,0.6884412169456482,85.63446807861328,70.05461120605469,35887.96484375,1.5182065963745115
