,LearningRate,WeightDecay,Activation,TrivialAugment,Op1,Op2,Op3,Op4,Op5,Op6,nepochs,valid-loss,latency,size_MB
17,0.5843279171112441,0.0006372511736447532,Mish,off,0.0,2.0,2.0,3.0,2.0,2.0,110.0,17.484718322753906,2.7799768447875977,0.8419719338417053
18,0.302238667707696,0.0009372815391880101,ReLU,on,0.0,1.0,1.0,0.0,1.0,2.0,178.0,18.950164794921875,1.2372044324874878,0.35204100608825684
19,0.9954710428380659,0.0006552094673038802,ReLU,on,1.0,1.0,2.0,0.0,3.0,0.0,197.0,37.2751579284668,2.2037549018859863,0.3307928442955017
20,0.563481729198452,0.0007071542735525402,Mish,on,1.0,0.0,3.0,3.0,0.0,0.0,45.0,48.200904846191406,2.0790791511535645,0.12560886144638062
21,0.18979158838521565,0.00027462882733229096,ReLU,on,0.0,2.0,1.0,1.0,2.0,2.0,63.0,12.417465209960938,1.4402949810028076,0.8645906448364258
22,0.6937778938981446,0.000223720772842699,Hardswish,on,0.0,1.0,2.0,0.0,2.0,3.0,190.0,5.152061462402344,1.4796115159988403,0.47820472717285156
23,0.5387729307621847,0.0009788914666153186,Mish,on,1.0,1.0,1.0,2.0,1.0,3.0,19.0,60.39492416381836,1.6983262300491333,0.35200467705726624
24,0.3967919827942452,0.00039180802123488283,Hardswish,off,2.0,1.0,2.0,1.0,3.0,1.0,152.0,7.731880187988281,1.5390506982803345,0.7246595025062561
25,0.6759011203793683,0.0003997119317108041,ReLU,on,0.0,3.0,1.0,3.0,0.0,2.0,25.0,50.03474426269531,1.4260798692703247,0.3874310553073883
26,0.48691553983831665,0.0005429015536862046,Mish,off,0.0,3.0,2.0,1.0,1.0,0.0,160.0,39.05051040649414,1.957824468612671,0.21468372642993927
27,0.9029914445085893,0.0007767057155948121,Mish,on,3.0,3.0,3.0,2.0,2.0,2.0,53.0,68.36110877990723,3.83768367767334,0.6295948624610901
28,0.5241070922600923,0.0009165141740136738,ReLU,on,3.0,2.0,1.0,0.0,3.0,1.0,157.0,38.27141571044922,1.4431257247924805,0.42332446575164795
29,0.013075785114683287,0.0004743238641218752,Hardswish,on,1.0,0.0,2.0,0.0,1.0,0.0,134.0,7.528434753417969,1.1066607236862183,0.15640953183174133
30,0.6507482437915457,0.00046583559065260755,Hardswish,off,1.0,3.0,2.0,2.0,3.0,3.0,164.0,9.230255126953125,1.5373121500015259,0.5998176336288452
31,0.6002834643157114,0.0009706172886305629,Hardswish,on,2.0,3.0,0.0,3.0,0.0,1.0,14.0,60.649600982666016,1.0162498950958252,0.3455779552459717
32,0.8220470450815068,0.00030547517109556305,Mish,off,2.0,3.0,0.0,1.0,3.0,3.0,132.0,21.454795837402344,2.5375990867614746,0.3861548602581024
33,0.24050837229106228,0.0007968777845689312,ReLU,off,3.0,0.0,3.0,1.0,2.0,1.0,94.0,18.425521850585938,1.5981649160385132,0.3538437783718109
34,0.3345061581082562,0.00017939173825590106,ReLU,off,2.0,2.0,1.0,3.0,2.0,3.0,40.0,12.149467468261719,1.6167879104614258,0.774124264717102
35,0.8043005362278696,0.0005270564556098617,ReLU,off,2.0,3.0,3.0,0.0,3.0,1.0,142.0,66.80192947387695,1.726285696029663,0.5028737187385559
36,0.8895518887514022,0.0005913567277681842,Hardswish,off,1.0,2.0,3.0,3.0,2.0,3.0,105.0,27.562950134277344,1.5199103355407715,0.6132871508598328
37,0.9857751314995319,0.00010706587405063437,Hardswish,on,3.0,3.0,1.0,0.0,3.0,0.0,100.0,20.20922088623047,1.5757708549499512,0.11725375801324844
38,0.08235274046177792,0.0003234192090210499,Mish,off,1.0,1.0,3.0,1.0,1.0,2.0,87.0,6.370979309082031,2.1490285396575928,0.3672637641429901
39,0.9440396377600314,0.0004480312509937335,ReLU,on,1.0,3.0,0.0,0.0,1.0,2.0,115.0,23.326637268066406,1.4249367713928223,0.33679941296577454
40,0.3542300043669445,0.00016533008970405076,Mish,off,3.0,1.0,0.0,3.0,2.0,2.0,7.0,16.644203186035156,2.6516497135162354,0.567166805267334
41,0.4042070758678736,0.00033812198944629983,Hardswish,on,2.0,1.0,0.0,2.0,0.0,0.0,57.0,17.18248748779297,1.7737414836883545,0.6639789938926697
42,0.12186258396345631,0.0008154308471385122,ReLU,off,2.0,0.0,3.0,3.0,1.0,1.0,82.0,17.06529998779297,1.5242191553115845,0.44778022170066833
43,0.028137403200930656,0.0003182298448366186,Hardswish,on,1.0,3.0,2.0,1.0,3.0,3.0,75.0,8.271110534667969,1.5081549882888794,0.3816268742084503
44,0.9191684319229178,6.723351919529322e-05,Mish,on,1.0,0.0,0.0,1.0,3.0,0.0,80.0,28.315040588378906,2.1075353622436523,0.10999765247106552
45,0.2743351734806922,0.00048749783183904495,ReLU,on,2.0,3.0,0.0,1.0,0.0,0.0,149.0,8.727005004882812,1.0093114376068115,0.3180764615535736
46,0.7455282192263512,0.0005107238910721486,ReLU,on,0.0,2.0,1.0,2.0,1.0,3.0,169.0,23.56170654296875,1.4238473176956177,0.6126652359962463
47,0.3834314506698182,1.6771999083549567e-05,Hardswish,on,1.0,2.0,1.0,2.0,2.0,3.0,35.0,12.425178527832031,1.4984947443008423,0.7653576135635376
48,0.759751665636025,0.00042767337022316625,Mish,on,0.0,3.0,0.0,1.0,1.0,1.0,186.0,7.243217468261719,2.0294861793518066,0.04380788281559944
49,0.4725778506880207,3.56774887642872e-05,ReLU,on,0.0,0.0,2.0,1.0,1.0,2.0,84.0,10.306556701660156,1.2888320684432983,0.5709604024887085
50,0.0747345365144328,9.171909844070756e-05,ReLU,on,3.0,1.0,1.0,1.0,3.0,2.0,29.0,8.883148193359375,1.3322752714157104,0.37946438789367676
51,0.6022270662012507,0.0006980757669584692,Hardswish,off,0.0,3.0,2.0,2.0,3.0,1.0,70.0,23.098899841308594,1.269775629043579,0.5436136722564697
52,0.8516268972375926,0.0008429242372406339,Mish,off,3.0,0.0,2.0,3.0,0.0,1.0,4.0,61.24876022338867,1.6951733827590942,0.3532336354255676
53,0.2557925806430687,0.0003449112750656434,ReLU,off,0.0,1.0,3.0,3.0,0.0,3.0,126.0,10.545623779296875,1.2829174995422363,0.15544427931308746
54,0.7636592408685988,0.00018437501807630878,ReLU,off,2.0,3.0,2.0,1.0,2.0,2.0,176.0,5.7297210693359375,1.4433822631835938,1.0641310214996338
55,0.8382398093134609,0.0006839821643485812,ReLU,on,0.0,2.0,0.0,0.0,2.0,3.0,50.0,46.373836517333984,1.263428807258606,0.5298057794570923
56,0.04501099594985507,0.00028776129342602614,ReLU,on,3.0,2.0,0.0,1.0,0.0,1.0,120.0,8.377578735351562,1.0037999153137207,0.3007979393005371
57,0.9740927872686659,0.0008667492391808745,Hardswish,off,3.0,0.0,3.0,1.0,0.0,1.0,102.0,48.72391891479492,1.5809334516525269,0.15231680870056152
58,0.2121319647722707,0.0008044976259835375,Mish,off,0.0,0.0,0.0,0.0,1.0,2.0,172.0,8.53326416015625,1.678122639656067,0.31947943568229675
59,0.2933253269585597,0.0007187820095501065,ReLU,off,0.0,1.0,2.0,2.0,2.0,3.0,155.0,21.71728515625,1.5925538539886475,0.7015038728713989
60,0.4230989046934899,0.00014319204631078268,ReLU,off,0.0,0.0,1.0,1.0,1.0,1.0,137.0,23.946762084960938,0.9773842692375183,0.08708314597606659
61,0.46258482115861066,0.0005418881379435326,ReLU,off,3.0,2.0,3.0,3.0,0.0,0.0,60.0,55.34599685668945,1.5276120901107788,0.40102192759513855
62,0.5115571556293431,0.00021029196427289478,Hardswish,off,2.0,3.0,3.0,1.0,1.0,3.0,92.0,13.262039184570312,1.3012621402740479,0.41509827971458435
63,0.13168780231428398,0.0006146730801385986,Mish,off,1.0,2.0,3.0,0.0,1.0,0.0,139.0,11.503707885742188,2.3628368377685547,0.45372745394706726
