p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
ReLU,0.001,0,1,3,4,4,2,on,0.0009914354720810025,"[77.13481140136719, -1.8781942129135132]","[77.13481140136719, -1.8781942129135132]",18,2.1093223094940186,2.1318085193634033,1684196708.9175894,1684196708.9399636
Hardswish,0.20786448025770304,1,4,0,1,1,0,off,1e-05,"[71.80181121826172, -0.8944352269172668]","[71.80181121826172, -0.8944352269172668]",19,2.110309600830078,2.1326041221618652,1684196708.918578,1684196708.9407568
ReLU,0.02811266201919428,0,0,3,4,4,3,on,0.0006081174605034958,"[87.03791046142578, -1.7533124685287476]","[87.03791046142578, -1.7533124685287476]",20,2.1196253299713135,2.142472267150879,1684196708.9278934,1684196708.9506228
ReLU,0.5879549594968532,0,4,0,3,0,0,off,0.0004821567538604814,"[75.70159149169922, -1.0710344314575195]","[75.70159149169922, -1.0710344314575195]",21,2.122145175933838,2.146716594696045,1684196708.930415,1684196708.954857
Hardswish,0.28370982522978205,0,0,0,1,4,1,off,0.001,"[71.72158813476562, -0.8878399133682251]","[71.72158813476562, -0.8878399133682251]",22,2.1253960132598877,2.149066686630249,1684196708.9336658,1684196708.9572165
Hardswish,0.5252727752563123,0,0,0,1,2,1,off,0.0008183081697800431,87.08336639404297,-0.5806868672370911,31,2.38461971282959,2.4079601764678955,1684196709.1928973,1684196709.2159734
ReLU,0.09122902401349106,0,3,4,3,4,0,on,0.0004228736143245086,"[81.20116424560547, -1.7671037912368774]","[81.20116424560547, -1.7671037912368774]",24,2.3490753173828125,2.371464490890503,1684196709.1573434,1684196709.1796193
Hardswish,0.03686970372236237,2,3,0,4,4,0,on,1e-05,"[88.00402069091797, -1.7840582132339478]","[88.00402069091797, -1.7840582132339478]",25,2.353299617767334,2.3756704330444336,1684196709.1615665,1684196709.1838238
Hardswish,0.6288773901689314,0,0,0,0,1,1,on,0.0009499256575575584,"[80.7519760131836, -0.35070154070854187]","[80.7519760131836, -0.35070154070854187]",26,2.3536009788513184,2.375955581665039,1684196709.1618688,1684196709.1841114
Hardswish,0.7384277343609449,0,0,0,1,1,3,off,0.0009183865006567688,"[82.64727020263672, -0.5871425867080688]","[82.64727020263672, -0.5871425867080688]",27,2.3559725284576416,2.3779072761535645,1684196709.164241,1684196709.1860645
Hardswish,0.12393997695069583,2,3,0,4,1,2,on,4.521493550668155e-05,"[90.037841796875, -1.55054771900177]","[90.037841796875, -1.55054771900177]",28,2.3685367107391357,2.391263484954834,1684196709.1768043,1684196709.1994138
Hardswish,0.6870433555915058,4,0,0,1,1,4,off,0.001,"[61.13385009765625, -1.838374376296997]","[61.13385009765625, -1.838374376296997]",29,2.374866247177124,2.3988521099090576,1684196709.1831355,1684196709.2069943
Hardswish,0.6527047919643152,0,0,0,0,0,1,off,0.001,"[76.45755004882812, -0.3712921142578125]","[76.45755004882812, -0.3712921142578125]",30,2.377197742462158,2.4002461433410645,1684196709.1854658,1684196709.2083955
Hardswish,0.285281802227742,0,0,0,1,2,1,off,1e-05,86.95378112792969,-0.5723019242286682,39,2.649165153503418,2.6721720695495605,1684196709.457436,1684196709.4802058
Hardswish,0.9885259249877708,0,0,0,0,3,0,off,0.0009140786512578384,"[71.525634765625, -0.5457282662391663]","[71.525634765625, -0.5457282662391663]",32,2.601717710494995,2.624047040939331,1684196709.409985,1684196709.4322028
Hardswish,1.0,0,3,0,2,2,1,off,0.0009525741106417586,"[86.45043182373047, -2.282956123352051]","[86.45043182373047, -2.282956123352051]",33,2.607473373413086,2.629842519760132,1684196709.4157422,1684196709.437997
ReLU,0.2679801684205253,4,1,4,0,0,4,off,0.0004081835820703066,"[63.65168762207031, -1.9455558061599731]","[63.65168762207031, -1.9455558061599731]",34,2.6079061031341553,2.630100727081299,1684196709.416173,1684196709.4382553
Hardswish,0.7415822174281524,0,1,1,1,1,3,off,0.001,"[11.755022048950195, -0.6400569677352905]","[11.755022048950195, -0.6400569677352905]",35,2.610765218734741,2.632638454437256,1684196709.419033,1684196709.4407952
Hardswish,0.001,0,0,2,0,0,1,on,0.001,"[80.02828979492188, -0.5789105892181396]","[80.02828979492188, -0.5789105892181396]",36,2.626134872436523,2.648712635040283,1684196709.434402,1684196709.456867
Mish,0.9587086275629668,0,0,0,3,1,3,off,0.0008081192625730275,"[84.38737487792969, -1.9590985774993896]","[84.38737487792969, -1.9590985774993896]",37,2.6346824169158936,2.657914876937866,1684196709.4429514,1684196709.4660645
Hardswish,0.9611274760030392,0,3,0,1,1,3,off,0.0009532905605287226,"[83.01861572265625, -0.8090533018112183]","[83.01861572265625, -0.8090533018112183]",38,2.636716604232788,2.6594369411468506,1684196709.4449844,1684196709.4675858
ReLU,0.12568840318121846,4,2,3,3,1,2,off,0.0009069088092137701,89.15552520751953,-1.653393030166626,47,3.050457000732422,3.0744495391845703,1684196709.8587437,1684196709.8824549
Hardswish,0.5292532546885701,0,1,2,1,2,2,off,0.0008200519236513046,"[86.83462524414062, -1.0850303173065186]","[86.83462524414062, -1.0850303173065186]",40,2.980422019958496,3.003964424133301,1684196709.7886968,1684196709.8121016
ReLU,0.31738516350203005,0,0,0,1,3,1,off,0.0008213950424726553,"[86.05577087402344, -0.4999446570873261]","[86.05577087402344, -0.4999446570873261]",41,2.991807699203491,3.0151782035827637,1684196709.8000777,1684196709.82332
Hardswish,0.5318241368052362,3,0,0,1,4,1,off,0.0008052518605919444,"[85.02582550048828, -1.0799217224121094]","[85.02582550048828, -1.0799217224121094]",42,2.9918086528778076,3.0155160427093506,1684196709.800084,1684196709.8236513
Hardswish,0.4520156704169812,0,0,0,0,0,1,on,0.0009851803017807191,"[78.66788482666016, -0.34648746252059937]","[78.66788482666016, -0.34648746252059937]",43,2.994544744491577,3.0178310871124268,1684196709.8028202,1684196709.8259676
Hardswish,0.32440064588501094,0,0,0,0,1,1,on,0.0007188545560218384,"[83.25614166259766, -0.3075256049633026]","[83.25614166259766, -0.3075256049633026]",44,3.0103952884674072,3.0336925983428955,1684196709.8186674,1684196709.8418362
Hardswish,0.8096745783674634,0,2,0,0,1,0,on,0.001,"[81.02872467041016, -0.7355476021766663]","[81.02872467041016, -0.7355476021766663]",45,3.026505470275879,3.0500922203063965,1684196709.8347812,1684196709.85821
Hardswish,0.001,0,0,0,2,2,1,off,0.0007067532812420662,"[77.35948944091797, -0.7897883057594299]","[77.35948944091797, -0.7897883057594299]",46,3.029348611831665,3.0526926517486572,1684196709.8376222,1684196709.8608284
Hardswish,0.31722704541921926,1,0,0,0,1,2,on,0.00030355732463592056,89.90753173828125,-0.589911162853241,55,3.325824499130249,3.349161148071289,1684196710.134104,1684196710.1571782
Hardswish,0.3473626005686866,1,0,0,1,2,1,off,1e-05,"[83.52175903320312, -0.6219802498817444]","[83.52175903320312, -0.6219802498817444]",48,3.2472944259643555,3.2702062129974365,1684196710.0555627,1684196710.0783546
Hardswish,0.11721201576832936,0,0,0,0,3,2,off,1e-05,"[86.87348175048828, -0.6282878518104553]","[86.87348175048828, -0.6282878518104553]",49,3.2580862045288086,3.280210018157959,1684196710.0663528,1684196710.0883648
Mish,0.7017041332764071,1,0,0,0,1,1,on,0.0009515878446850896,"[81.50764465332031, -0.8123739361763]","[81.50764465332031, -0.8123739361763]",50,3.2585349082946777,3.281420946121216,1684196710.0668058,1684196710.089569
ReLU,0.001,0,0,0,0,4,0,off,0.001,"[49.24860000610352, -0.8773656487464905]","[49.24860000610352, -0.8773656487464905]",51,3.2593605518341064,3.281792163848877,1684196710.0676303,1684196710.0899434
ReLU,0.29144478243494026,0,0,0,1,4,1,off,1e-05,"[72.12188720703125, -0.870639979839325]","[72.12188720703125, -0.870639979839325]",52,3.2772068977355957,3.299732446670532,1684196710.0854757,1684196710.1078837
ReLU,0.4255928293526964,0,0,0,0,2,0,on,0.001,"[81.06024932861328, -0.591752827167511]","[81.06024932861328, -0.591752827167511]",53,3.2974514961242676,3.3206892013549805,1684196710.105723,1684196710.128833
Mish,0.3980262127982732,0,0,0,1,2,1,off,0.0008398614900406118,"[88.01321411132812, -1.2206432819366455]","[88.01321411132812, -1.2206432819366455]",54,3.3017385005950928,3.3247127532958984,1684196710.1100094,1684196710.132859
ReLU,0.47841802146036366,4,0,0,1,3,1,off,0.0008507439812876904,80.03634643554688,-1.0588949918746948,63,3.603062868118286,3.626502513885498,1684196710.4113417,1684196710.43451
